CaseName,EventType,TargetBus,InputFile,Variant
SSO_SLG_Fault_Bus15,SSO_SLG_Fault,15.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus15.csv,
SSO_SLG_Fault_Bus16,SSO_SLG_Fault,16.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus16.csv,
SSO_SLG_Fault_Bus17,SSO_SLG_Fault,17.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus17.csv,
SSO_SLG_Fault_Bus18,SSO_SLG_Fault,18.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus18.csv,
SSO_SLG_Fault_Bus19,SSO_SLG_Fault,19.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus19.csv,
SSO_SLG_Fault_Bus20,SSO_SLG_Fault,20.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus20.csv,
SSO_SLG_Fault_Bus21,SSO_SLG_Fault,21.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus21.csv,
SSO_SLG_Fault_Bus22,SSO_SLG_Fault,22.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus22.csv,
SSO_SLG_Fault_Bus23,SSO_SLG_Fault,23.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus23.csv,
SSO_SLG_Fault_Bus24,SSO_SLG_Fault,24.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus24.csv,
SSO_SLG_Fault_Bus25,SSO_SLG_Fault,25.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus25.csv,
SSO_SLG_Fault_Bus26,SSO_SLG_Fault,26.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus26.csv,
SSO_SLG_Fault_Bus27,SSO_SLG_Fault,27.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus27.csv,
SSO_SLG_Fault_Bus28,SSO_SLG_Fault,28.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus28.csv,
SSO_SLG_Fault_Bus29,SSO_SLG_Fault,29.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus29.csv,
SSO_SLG_Fault_Bus30,SSO_SLG_Fault,30.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_SLG_Fault_Bus30.csv,
SSO_ThreePhase_Fault_Bus01,SSO_ThreePhase_Fault,1.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus01.csv,
SSO_ThreePhase_Fault_Bus02,SSO_ThreePhase_Fault,2.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus02.csv,
SSO_ThreePhase_Fault_Bus03,SSO_ThreePhase_Fault,3.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus03.csv,
SSO_ThreePhase_Fault_Bus04,SSO_ThreePhase_Fault,4.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus04.csv,
SSO_ThreePhase_Fault_Bus05,SSO_ThreePhase_Fault,5.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus05.csv,
SSO_ThreePhase_Fault_Bus06,SSO_ThreePhase_Fault,6.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus06.csv,
SSO_ThreePhase_Fault_Bus07,SSO_ThreePhase_Fault,7.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus07.csv,
SSO_ThreePhase_Fault_Bus08,SSO_ThreePhase_Fault,8.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus08.csv,
SSO_ThreePhase_Fault_Bus09,SSO_ThreePhase_Fault,9.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus09.csv,
SSO_ThreePhase_Fault_Bus10,SSO_ThreePhase_Fault,10.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus10.csv,
SSO_ThreePhase_Fault_Bus11,SSO_ThreePhase_Fault,11.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus11.csv,
SSO_ThreePhase_Fault_Bus12,SSO_ThreePhase_Fault,12.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus12.csv,
SSO_ThreePhase_Fault_Bus13,SSO_ThreePhase_Fault,13.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus13.csv,
SSO_ThreePhase_Fault_Bus14,SSO_ThreePhase_Fault,14.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus14.csv,
SSO_ThreePhase_Fault_Bus15,SSO_ThreePhase_Fault,15.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus15.csv,
SSO_ThreePhase_Fault_Bus16,SSO_ThreePhase_Fault,16.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus16.csv,
SSO_ThreePhase_Fault_Bus17,SSO_ThreePhase_Fault,17.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus17.csv,
SSO_ThreePhase_Fault_Bus18,SSO_ThreePhase_Fault,18.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus18.csv,
SSO_ThreePhase_Fault_Bus19,SSO_ThreePhase_Fault,19.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus19.csv,
SSO_ThreePhase_Fault_Bus20,SSO_ThreePhase_Fault,20.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus20.csv,
SSO_ThreePhase_Fault_Bus21,SSO_ThreePhase_Fault,21.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus21.csv,
SSO_ThreePhase_Fault_Bus22,SSO_ThreePhase_Fault,22.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus22.csv,
SSO_ThreePhase_Fault_Bus23,SSO_ThreePhase_Fault,23.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus23.csv,
SSO_ThreePhase_Fault_Bus24,SSO_ThreePhase_Fault,24.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus24.csv,
SSO_ThreePhase_Fault_Bus25,SSO_ThreePhase_Fault,25.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus25.csv,
SSO_ThreePhase_Fault_Bus26,SSO_ThreePhase_Fault,26.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus26.csv,
SSO_ThreePhase_Fault_Bus27,SSO_ThreePhase_Fault,27.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus27.csv,
SSO_ThreePhase_Fault_Bus28,SSO_ThreePhase_Fault,28.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus28.csv,
SSO_ThreePhase_Fault_Bus29,SSO_ThreePhase_Fault,29.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus29.csv,
SSO_ThreePhase_Fault_Bus30,SSO_ThreePhase_Fault,30.0,/mnt/c/Users/user/Documents/MATLAB/WMU_final/WMU_batch_raw_ibr_background/SSO_ThreePhase_Fault_Bus30.csv,
